PLAYER,                                                                                                                                     AVGPOINTS,                                                                                                                                     INNINGS,                                                                                                                                     COST,                                                                                                                                     TYPE
AaronFinch,           44.2498,           8,                                                                                        9,                                                                                        1
AbdeVilliers,         44.1333,         15,                                                                                        10,                                                                                        1
AbdulSamad,                                                                                        30,                                                                                        11,                                                                                        7.5,                                                                                        1
AbhishekSharma,                20.6667,                3,                                                                                        0,                                                                                        0
AdamZampa,                                                                                        33.325,                                                                                        6,                                                                                        8.5,                                                                                        3
AjinkyaRahane,                                                                                        36,                                                                                        13,                                                                                        9,                                                                                        1
AkshdeepNath,                                                                                        14,                                                                                        5,                                                                                        0,                                                                                        0
AlexCarey,                                                                                        11.6,                                                                                        5,                                                                                        8.5,                                                                                        0
AlzarriJoseph,                                                                                        63.8333,                                                                                        2,                                                                                        0,                                                                                        0
AmbatiRayudu,                                                                                        23.0555,                                                                                        18,                                                                                        9,                                                                                        1
AmitMishra,                                                                                        30.75,                                                                                        4,                                                                                        8.5,                                                                                        3
AndreRussell,                                                   71.494,                                                   14,                                                                                        10.5,                                                                                        2
AndrewTye,                                                                                        12.5,                                                                                        6,                                                                                        8.5,                                                                                        3
AnkitRajpoot,                                                                                        18.75,                                                                                        4,                                                                                        8,                                                                                        3
AnrichNortje,                                                                                        14.245,                                                                                        4,                                                                                        8,                                                                                        3
AnukulRoy,                                                                                        25,                                                                                        1,                                                                                        0,                                                                                        0
ArshdeepSingh,                                                                                        25,                                                                                        3,                                                                                        0,                                                                                        0
AveshKhan,                                                                                        0,                                                                                        1,                                                                                        0,                                                                                        0
AxarPatel,                                                                                        29.3296,                                                                                        13,                                                                                        8.5,                                                                                        2
BarinderSran,                                                                                        0,                                                                                        2,                                                                                        0,                                                                                        0
BasilThampi,                                                                                        0,                                                                                        3,                                                                                        8,                                                                                        3
BenCutting,                                                                                        32,                                                                                        3,                                                                                        0,                                                                                        0
BenStokes,                                                                                        40.4444,                                                                                        9,                                                                                        10,                                                                                        2
BhuvneshwarKumar,              20.8889,              6,                                                                                        9,                                                                                        3
CarlosBrathwaite,                                                                                        6,                                                                                        2,                                                                                        0,                                                                                        0
ChrisGayle,                                                                                        47.6154,                                                                                        13,                                                                                        9.5,                                                                                        1
ChrisJordan,                                                                                        45,                                                                                        12,                                                                                        8.5,                                                                                        3
ChrisLynn,                                                                                        38.9231,                                                                                        13,                                                                                        9,                                                                                        1
ChrisMorris,                                                                                        42.2778,                                                                                        6,                                                                                        9,                                                                                        2
ColindeGrandhomme,                                                                                        13.5,                                                                                        4,                                                                                        0,                                                                                        0
ColinIngram,                                                                                        17.8333,                                                                                        12,                                                                                        0,                                                                                        0
ColinMunro,                                                                                        25.25,                                                                                        4,                                                                                        0,                                                                                        0
DaleSteyn,    31.5,    4,                                                                                        8.5,                                                                                        3
DavidMiller,                                         22.9091,                                         11,                                                                                        8.5,                                                                                        1
DavidWarner,                      64.7692,                      13,                                                                                        10.5,                                                                                        1
DeepakChahar,                         34.1578,                         19,                                                                                        8.5,                                                                                        3
DeepakHooda,                                                                                        22.6429,                                                                                        7,                                                                                        0,                                                                                        0
DevduttPadikkal,        61.5,        14,                                                                                        8,                                                                                        1
DhawalKulkarni,                                                                                        15,                                                                                        10,                                                                                        8,                                                                                        3
DineshKarthik,                                                  25,                                                  14,                                                                                        9,                                                                                        0
DwayneBravo,                                                                                        33.1389,                                                                                        9,                                                                                        9,                                                                                        2
EvinLewis,                                                                                        18.6667,                                                                                        3,                                                                                        0,                                                                                        0
FafduPlessis,                               48.6428,                               14,                                                                                        9,                                                                                        1
GlennMaxwell,                                                                         32.1667,                                                                         6,                                                                                        9,                                                                                        2
GurkeeratMannSingh,                                                                                        39,                                                                                        3,                                                                                        8,                                                                                        1
HanumaVihari,                                                                                        0,                                                                                        1,                                                                                        0,                                                                                        0
HarbhajanSingh,                                                                                        36.3636,                                                                                        11,                                                                                        0,                                                                                        0
HardikPandya,                                                              52.4779,                                                              17,                                                                                        9.5,                                                                                        2
HardusViljoen,                                                                                        29.1667,                                                                                        6,                                                                                        0,                                                                                        0
HarpreetBrar,                                                                                        24,                                                                                        1,                                                                                        0,                                                                                        0
HarryGurney,                                                                                        21.875,                                                                                        8,                                                                                        0,                                                                                        0
HarshalPatel,                                                                                        25,                                                                                        2,                                                                                        8,                                                                                        3
ImranTahir,                                                                                        39.1765,                                                                                        17,                                                                                        9.5,                                                                                        3
IshanKishan,                                                                                        19.5,                                                                                        6,                                                                                        8.5,                                                                                        0
IshantSharma,                                                                                        29.3333,                                                                                        3,                                                                                        8.5,                                                                                        3
IshSodhi,                                                                                        50,                                                                                        2,                                                                                        0,                                                                                        0
JagadeeshaSuchith,                                                                                        50,                                                                                        1,                                                                                        0,                                                                                        0
